
Table/View                      Schema          Type  Creation time
SA_FBPD_SPECEQP_EQP_M           FDW             T     2007-05-21-22.46.36.706001
SA_FBPD_SPECEQP_EQP_PG_M        FDW             T     2007-05-21-22.46.36.846001
SA_FBPD_SPECEQP_EQP_T_M         FDW             T     2007-05-21-22.46.36.986001
SA_FBPD_SPECEQP_M               FDW             T     2007-05-21-22.46.37.066001
SA_FBPD_SPECEQP_PG_M            FDW             T     2007-05-21-22.46.37.176001
SA_FBPD_SPECEQP_T_M             FDW             T     2007-05-21-22.46.37.246001
SA_FBPD_UD_M                    FDW             T     2007-05-21-22.46.37.367001
SA_FBPHOTOLYR                   FDW             T     2007-05-21-22.46.37.457001
SA_FBPHOTOLYR_M                 FDW             T     2007-05-21-22.46.37.537001
SA_FBPHOTOLYR_UD_M              FDW             T     2007-05-21-22.46.37.637001
SA_FBPRIVGRP                    FDW             T     2007-05-21-22.46.37.727001
SA_FBPRIVGRP_M                  FDW             T     2007-05-21-22.46.37.807001
SA_FBPRIVGRP_PRMS_M             FDW             T     2007-05-21-22.46.37.937001
SA_FBPRIVGRP_UD_M               FDW             T     2007-05-21-22.46.38.017001
SA_FBPROD                       FDW             T     2007-05-21-22.46.38.128000
SA_FBPROD_M                     FDW             T     2007-05-21-22.46.38.228001
SA_FBPROD_MNPD_M                FDW             T     2007-05-21-22.46.38.358001
SA_FBPROD_SPROD_M               FDW             T     2007-05-21-22.46.38.518001
SA_FBPROD_UD_M                  FDW             T     2007-05-21-22.46.38.648000
SA_FBPRODCAT                    FDW             T     2007-05-21-22.46.38.728001
SA_FBPRODCAT_LTTYPE_M           FDW             T     2007-05-21-22.46.38.979001
SA_FBPRODCAT_M                  FDW             T     2007-05-21-22.46.38.869001
SA_FBPRODCAT_MNPDTP_M           FDW             T     2007-05-21-22.46.39.069001
SA_FBPRODGRP                    FDW             T     2007-05-21-22.46.39.149001
SA_FBPRODGRP_M                  FDW             T     2007-05-21-22.46.39.249001
SA_FBPRODGRP_UD_M               FDW             T     2007-05-21-22.46.39.470001
SA_FBPRODGRP_USERGRP_M          FDW             T     2007-05-21-22.46.39.590001
SA_FBPRODTYPE                   FDW             T     2007-05-21-22.46.39.680001
SA_FBPRODTYPE_M                 FDW             T     2007-05-21-22.46.39.840001
SA_FBPRTYCLSTYPE                FDW             T     2007-05-21-22.46.39.940001
SA_FBPRTYCLSTYPE_M              FDW             T     2007-05-21-22.46.40.070001
SA_FBPRTYCLSTYPE_UD_M           FDW             T     2007-05-21-22.46.40.241001
SA_FBRCP                        FDW             T     2007-05-21-22.46.40.431001
SA_FBRCP_EQP_M                  FDW             T     2007-05-21-22.46.40.741001
SA_FBRCP_M                      FDW             T     2007-05-21-22.46.40.531001
SA_FBRCP_UD_M                   FDW             T     2007-05-21-22.46.40.982001
SA_FBRCP_USERGRP_M              FDW             T     2007-05-21-22.46.41.292001
SA_FBREASONCAT                  FDW             T     2007-05-21-22.46.41.382001
SA_FBREASONCAT_M                FDW             T     2007-05-21-22.46.41.543001
SA_FBREASONCODE                 FDW             T     2007-05-21-22.46.41.653001
SA_FBREASONCODE_M               FDW             T     2007-05-21-22.46.41.813001
SA_FBREASONCODE_UD_M            FDW             T     2007-05-21-22.46.41.903001
SA_FBREQST                      FDW             T     2007-05-21-22.46.42.013001
SA_FBREQST_CD_M                 FDW             T     2007-05-21-22.46.42.203001
SA_FBREQST_M                    FDW             T     2007-05-21-22.46.42.103001
SA_FBREQST_UD_M                 FDW             T     2007-05-21-22.46.42.354001
SA_FBRTCL                       FDW             T     2007-05-21-22.46.42.474001
SA_FBRTCL_M                     FDW             T     2007-05-21-22.46.42.564001
SA_FBRTCL_UD_M                  FDW             T     2007-05-21-22.46.42.714001
SA_FBRTCLGRP                    FDW             T     2007-05-21-22.46.42.854001
SA_FBRTCLGRP_M                  FDW             T     2007-05-21-22.46.42.955001
SA_FBRTCLGRP_UD_M               FDW             T     2007-05-21-22.46.43.045001
SA_FBRTCLPOD                    FDW             T     2007-05-21-22.46.43.165000
SA_FBRTCLPOD_M                  FDW             T     2007-05-21-22.46.43.265001
SA_FBRTCLPOD_UD_M               FDW             T     2007-05-21-22.46.43.415001
SA_FBRTCLPODCAT                 FDW             T     2007-05-21-22.46.43.595001
SA_FBRTCLPODCAT_M               FDW             T     2007-05-21-22.46.43.666001
SA_FBRTCLPODCAT_UD_M            FDW             T     2007-05-21-22.46.43.796001
SA_FBRTCLSET                    FDW             T     2007-05-21-22.46.43.936001
SA_FBRTCLSET_D_RGRP_M           FDW             T     2007-05-21-22.46.44.286001
SA_FBRTCLSET_DRGRP_M            FDW             T     2007-05-21-22.46.44.176001
SA_FBRTCLSET_M                  FDW             T     2007-05-21-22.46.44.056001
SA_FBRTCLSET_S_RGRP_M           FDW             T     2007-05-21-22.46.44.637001
SA_FBRTCLSET_SRGRP_M            FDW             T     2007-05-21-22.46.44.567001
SA_FBRTCLSET_UD_M               FDW             T     2007-05-21-22.46.44.727001
SA_FBSCRIPT                     FDW             T     2007-05-21-22.46.44.857001
SA_FBSCRIPT_M                   FDW             T     2007-05-21-22.46.45.108001
SA_FBSCRIPT_UD_M                FDW             T     2007-05-21-22.46.45.478001
SA_FBSCRIPT_USEARG_M            FDW             T     2007-05-21-22.46.45.658001
SA_FBSCRIPT_USEPARM_M           FDW             T     2007-05-21-22.46.45.749001
SA_FBSCRIPTPARM                 FDW             T     2007-05-21-22.46.45.849001
SA_FBSCRIPTPARM_M               FDW             T     2007-05-21-22.46.45.999001
SA_FBSTAGE                      FDW             T     2007-05-21-22.46.46.159001
SA_FBSTAGE_M                    FDW             T     2007-05-21-22.46.46.269001
SA_FBSTAGE_UD_M                 FDW             T     2007-05-21-22.46.46.540001
SA_FBSTGGRP                     FDW             T     2007-05-21-22.46.46.630001
SA_FBSTGGRP_M                   FDW             T     2007-05-21-22.46.46.740001
SA_FBSTGGRP_UD_M                FDW             T     2007-05-21-22.46.46.940001
SA_FBSTOCKER                    FDW             T     2007-05-21-22.46.47.101001
SA_FBSTOCKER_M                  FDW             T     2007-05-21-22.46.47.211001
SA_FBSTOCKER_RES_M              FDW             T     2007-05-21-22.46.47.411001
SA_FBSTOCKER_UD_M               FDW             T     2007-05-21-22.46.47.551001
SA_FBSTOCKERCAT                 FDW             T     2007-05-21-22.46.47.661001
SA_FBSTOCKERCAT_M               FDW             T     2007-05-21-22.46.47.802001
SA_FBSYSMSGCODE                 FDW             T     2007-05-21-22.46.47.922001
SA_FBSYSMSGCODE_M               FDW             T     2007-05-21-22.46.48.022001
SA_FBSYSMSGCODE_UD_M            FDW             T     2007-05-21-22.46.48.142001
SA_FBTCNLGY                     FDW             T     2007-05-21-22.46.48.282001
SA_FBTCNLGY_M                   FDW             T     2007-05-21-22.46.48.432001
SA_FBTCNLGY_UD_M                FDW             T     2007-05-21-22.46.48.563001
SA_FBUDCAT                      FDW             T     2007-05-21-22.46.48.673001
SA_FBUDCAT_M                    FDW             T     2007-05-21-22.46.48.803001
SA_FBUDCODE                     FDW             T     2007-05-21-22.46.48.933001
SA_FBUDCODE_M                   FDW             T     2007-05-21-22.46.49.033001
SA_FBUDCODE_UD_M                FDW             T     2007-05-21-22.46.49.133001
SA_FBUSER                       FDW             T     2007-05-21-22.46.49.264001
SA_FBUSER_M                     FDW             T     2007-05-21-22.46.49.394001
SA_FBUSER_PPTAREGRP_M           FDW             T     2007-05-21-22.46.49.514001
SA_FBUSER_PRIVGRP_M             FDW             T     2007-05-21-22.46.49.694001
SA_FBUSER_UD_M                  FDW             T     2007-05-21-22.46.49.834001
SA_FBUSER_USERGRP_M             FDW             T     2007-05-21-22.46.49.885001
SA_FBUSERGRP                    FDW             T     2007-05-21-22.46.49.995000
SA_FBUSERGRP_M                  FDW             T     2007-05-21-22.46.50.075001
SA_FBUSERGRP_UD_M               FDW             T     2007-05-21-22.46.50.185000
SA_FBWKARE                      FDW             T     2007-05-21-22.46.50.325001
SA_FBWKARE_EQP_M                FDW             T     2007-05-21-22.46.50.736000
SA_FBWKARE_M                    FDW             T     2007-05-21-22.46.50.485001
SA_FBWKARE_STOCKER_M            FDW             T     2007-05-21-22.46.50.856001
SA_FBWKARE_UD_M                 FDW             T     2007-05-21-22.46.50.936001
SA_FHALMHS                      FDW             T     2007-05-21-22.45.49.858001
SA_FHBASELOADHS                 FDW             T     2007-05-21-22.45.50.139001
SA_FHCDATAHS                    FDW             T     2007-05-21-22.46.05.941001
SA_FHCDATAHS_DDC                FDW             T     2007-05-21-22.45.55.236001
SA_FHCDATAHS_LOT                FDW             T     2007-05-21-22.45.50.459001
SA_FHCDATAHSDATA                FDW             T     2007-05-21-22.46.06.372001
SA_FHCDATAHSLOT                 FDW             T     2007-05-21-22.46.06.783001
SA_FHCSCHS                      FDW             T     2007-05-21-22.45.50.860001
SA_FHDRCHS                      FDW             T     2007-05-21-22.45.51.120001
SA_FHELCHS                      FDW             T     2007-05-21-22.45.51.481001
SA_FHELCHSWFR                   FDW             T     2007-05-21-22.45.51.761001
SA_FHEMCHS                      FDW             T     2007-05-21-22.45.52.041001
SA_FHENINHS                     FDW             T     2007-05-21-22.45.52.342001
SA_FHENINHSENT                  FDW             T     2007-05-21-22.45.52.672001
SA_FHENINHSSLT                  FDW             T     2007-05-21-22.45.52.883001
SA_FHEQPRCHK                    FDW             T     2007-05-21-22.45.53.183001
SA_FHESCHS                      FDW             T     2007-05-21-22.45.53.804001
SA_FHFHLDHS                     FDW             T     2007-05-21-22.45.54.094001
SA_FHFLBCHHS                    FDW             T     2007-05-21-22.45.54.395001
SA_FHOCAPHS                     FDW             T     2007-05-21-22.45.54.735001
SA_FHOCAPHS_ACT                 FDW             T     2007-05-21-22.45.54.986001
SA_FHOPEHS                      FDW             T     2007-05-21-22.45.55.657001
SA_FHPHLHS                      FDW             T     2007-05-21-22.45.57.289001
SA_FHPRQHS                      FDW             T     2007-05-21-22.45.57.740001
SA_FHRSTHS                      FDW             T     2007-05-21-22.45.58.000001
SA_FHSCRHS                      FDW             T     2007-05-21-22.45.58.431001
SA_FHSWR_STATE                  FDW             T     2007-05-21-22.46.08.265001
SA_FHTOOLBKHS                   FDW             T     2007-05-21-22.45.58.771001
SA_FHVLTRHS                     FDW             T     2007-05-21-22.45.59.152001
SA_FHWCPHS                      FDW             T     2007-05-21-22.45.59.612001
SA_FHWLTHS                      FDW             T     2007-05-21-22.45.59.923001
SA_FRFOUP                       FDW             T     2007-05-21-22.46.03.828001
SA_FRFOUP_LOT                   FDW             T     2007-05-21-22.46.03.878001
SA_OPEHSRPARM                   FDW             T     2007-05-21-22.45.56.207001
SA_OPEHSRPARMWFR                FDW             T     2007-05-21-22.45.56.638001
