
Table/View                      Schema          Type  Creation time
SD_FVLOTFAMILY_CURLOT           DEVMINER        V     2007-06-05-16.37.57.009276
SD_FVLOTFAMILY_SCRAP            DEVMINER        V     2007-06-05-16.37.57.024045
SD_FVLOTFAMYIL_UDATA            DEVMINER        V     2007-06-05-16.37.57.037006
SD_FVLOTNOTE                    DEVMINER        V     2007-06-05-16.37.57.081879
SD_FVLOTNOTE_UDATA              DEVMINER        V     2007-06-05-16.37.57.097277
SD_FVLOTOPENOTE                 DEVMINER        V     2007-06-05-16.37.57.113259
SD_FVLOTOPENOTE_UDATA           DEVMINER        V     2007-06-05-16.37.57.129207
SD_FVLOTQTIME                   DEVMINER        V     2007-06-21-11.52.38.421202
SD_FVLOTQTIME_UDATA             DEVMINER        V     2007-06-21-11.52.38.439185
SD_FVPORT                       DEVMINER        V     2007-06-05-16.37.57.177693
SD_FVPORT_ACSMODE               DEVMINER        V     2007-06-05-16.37.57.192912
SD_FVPORT_COPEMODE              DEVMINER        V     2007-06-05-16.37.57.208055
SD_FVPORT_FOUPCAP               DEVMINER        V     2007-06-05-16.37.57.221658
SD_FVPORT_UDATA                 DEVMINER        V     2007-06-05-16.37.57.235564
SD_FVRETICLE                    DEVMINER        V     2007-06-05-16.37.57.250665
SD_FVRETICLE_UDATA              DEVMINER        V     2007-06-05-16.37.57.266757
SD_FVRTCLPOD                    DEVMINER        V     2007-06-05-16.37.57.284160
SD_FVRTCLPOD_RSVRTCL            DEVMINER        V     2007-06-05-16.37.57.300154
SD_FVRTCLPOD_RTCL               DEVMINER        V     2007-06-05-16.37.57.315964
SD_FVRTCLPOD_UDATA              DEVMINER        V     2007-06-05-16.37.57.331597
SD_FVSAMPL                      DEVMINER        V     2007-06-05-16.37.57.347879
SD_FVSTK                        DEVMINER        V     2007-06-05-16.37.57.365681
SD_FVSTK_EQP                    DEVMINER        V     2007-06-05-16.37.57.382219
SD_FVSTK_RSC                    DEVMINER        V     2007-06-05-16.37.57.406027
SD_FVSTK_UDATA                  DEVMINER        V     2007-06-05-16.37.57.420430
SD_FVSTKGDARE                   DEVMINER        V     2007-06-05-16.37.57.435756
SD_FVSTKGDAREWFR                DEVMINER        V     2007-06-05-16.37.57.451811
SD_FVUSERSKILL                  DEVMINER        V     2007-06-05-16.37.57.466781
SD_FVWAFER                      DEVMINER        V     2007-06-21-11.52.38.457227
SD_FVWAFER_UDATA                DEVMINER        V     2007-06-21-11.52.38.474536
SD_FVWFRGRADEDEF                DEVMINER        V     2007-06-05-16.37.57.512673
SD_PMIDDEF                      DEVMINER        T     2007-06-05-15.01.58.582946
SD_PMIDVOLUME                   DEVMINER        T     2007-06-05-15.01.58.772160
SD_RMCONSITEM                   DEVMINER        T     2007-06-05-15.01.59.868515
SD_RMCONSITEMTOL                DEVMINER        T     2007-06-05-15.02.00.961296
SD_RMCONST                      DEVMINER        T     2007-06-05-15.02.00.771951
SD_RMCONSTITEM                  DEVMINER        T     2007-05-30-18.57.26.224718
SD_RMEQPPCRRULE                 DEVMINER        T     2007-06-05-15.02.00.062879
SD_RMEQPRCPRULE                 DEVMINER        T     2007-05-30-18.57.26.302008
SD_RMRCP                        DEVMINER        T     2007-06-05-15.02.00.262255
SD_RMRCPBODY                    DEVMINER        T     2007-06-05-15.02.01.149845
SD_RMRCPITEM                    DEVMINER        T     2007-06-05-15.02.00.453364
SD_RMRCPITEMTOL                 DEVMINER        T     2007-06-05-15.02.01.341718
